,satisfies_expression,accessor_keyword,extends_constraint_on_infer,variance_annotations_on_type_parameter,type_modifier_on_import_name,import_assertion,static_block_in_class,override_on_class_method,abstract_construct_signature,template_literal_type,remapped_name_in_mapped_type,named_tuple_member,short_circuit_assignment
-50,1,1,1,1,1,1,2,1,0,3,1,1,1
-40,1,1,1,1,2,1,2,3,1,3,1,1,1
-30,1,1,1,1,2,1,2,3,1,3,2,1,2
-20,1,1,1,1,2,1,2,5,1,3,2,2,2
-10,1,3,1,1,2,1,2,5,1,3,2,2,2
0,2,4,3,3,3,2,2,7,2,5,4,3,2
10,2,5,4,4,4,2,3,10,4,8,7,6,4
20,3,5,4,4,4,2,3,11,4,9,8,6,4
30,3,7,5,4,4,2,3,13,4,10,9,8,4
40,4,8,5,4,5,2,3,15,4,11,9,9,5
50,4,9,5,4,7,2,3,17,4,12,9,10,6
60,4,9,5,5,7,2,3,17,4,15,10,10,7
70,4,9,6,5,8,3,3,17,5,16,10,13,8
80,4,9,6,5,9,3,3,17,5,17,10,13,9
90,4,9,6,5,11,3,3,17,5,18,11,13,10
100,4,9,6,5,15,4,3,20,5,18,11,14,12
110,4,9,6,5,15,4,3,24,5,21,12,15,13
120,4,9,7,5,16,4,3,24,5,23,13,17,14
130,4,9,7,5,18,4,3,27,6,25,14,17,14
140,4,9,7,5,21,4,3,27,6,27,14,19,14
150,4,9,8,5,22,4,3,27,6,29,14,19,17
160,4,9,8,5,22,4,3,27,7,29,15,20,17
170,4,9,10,5,24,4,3,28,7,34,15,27,20
180,4,9,10,5,24,4,3,30,7,34,15,27,21
190,4,9,11,5,25,4,3,30,7,35,18,30,23
200,4,9,11,5,29,4,3,30,7,37,18,33,24
210,4,9,11,5,32,4,3,31,7,40,20,34,25
220,4,9,13,5,35,4,3,32,7,41,20,35,26
230,4,9,13,5,36,4,3,32,8,42,20,35,27
240,4,9,13,5,42,4,3,32,8,42,20,37,27
250,4,9,13,5,43,4,3,33,8,44,20,39,29
260,4,9,13,5,44,4,3,34,8,44,21,40,31
270,4,9,13,5,44,4,3,36,8,45,21,42,33
280,4,9,13,5,46,4,3,37,8,48,23,44,33
290,4,9,13,5,49,4,4,40,8,48,25,46,34
300,4,9,13,5,51,4,4,40,8,51,26,47,35
310,4,9,13,5,53,4,4,40,8,51,26,49,37
320,4,9,13,5,55,4,4,41,9,51,26,50,38
330,4,9,13,5,56,4,4,42,9,55,26,52,38
340,4,9,13,5,59,4,4,43,9,56,28,52,41
350,4,9,13,5,60,4,4,43,9,58,28,52,42
360,4,9,13,5,65,4,4,44,9,61,29,55,44
370,4,9,13,5,66,5,4,46,10,62,29,56,44
380,4,9,13,5,68,5,4,48,10,63,30,57,45
390,4,9,13,5,69,5,4,50,11,64,32,57,45
400,4,9,13,5,70,5,5,52,11,65,32,60,47
410,4,9,13,5,72,5,5,54,11,67,33,61,50
420,4,9,13,5,72,5,6,55,11,69,34,65,50
430,4,9,13,5,72,5,6,55,11,70,34,66,51
440,4,9,13,5,72,5,6,56,11,71,34,67,53
450,4,9,13,5,72,5,6,56,11,72,36,68,54
460,4,9,13,5,72,5,6,56,12,74,36,69,54
470,4,9,13,5,72,5,6,56,12,78,36,70,54
480,4,9,13,5,72,5,6,57,12,79,37,72,55
490,4,9,13,5,72,5,7,58,12,83,38,74,57
500,4,9,13,5,72,5,7,58,12,84,39,76,58
510,4,9,13,5,72,5,7,58,12,85,39,77,61
520,4,9,13,5,72,5,7,58,12,86,39,78,64
530,4,9,13,5,72,5,7,60,12,88,40,81,64
540,4,9,13,5,72,5,7,62,12,90,41,82,68
550,4,9,13,5,72,5,7,62,12,93,41,86,70
560,4,9,13,5,72,5,7,62,12,97,42,90,74
570,4,9,13,5,72,5,7,63,12,98,42,92,76
580,4,9,13,5,72,5,7,63,12,101,42,93,78
590,4,9,13,5,72,5,7,63,12,101,42,96,79
600,4,9,13,5,72,5,7,63,12,103,42,98,80
610,4,9,13,5,72,5,7,63,12,106,44,100,81
620,4,9,13,5,72,5,7,63,12,106,44,100,84
630,4,9,13,5,72,5,7,63,13,109,45,103,85
640,4,9,13,5,72,5,7,63,13,112,46,104,86
650,4,9,13,5,72,5,7,63,13,114,47,105,86
660,4,9,13,5,72,5,7,63,13,115,48,106,86
670,4,9,13,5,72,5,7,63,13,118,50,107,88
680,4,9,13,5,72,5,7,63,13,118,51,110,90
690,4,9,13,5,72,5,7,63,13,118,51,110,93
700,4,9,13,5,72,5,7,63,13,121,52,110,94
710,4,9,13,5,72,5,7,63,13,122,52,110,95
720,4,9,13,5,72,5,7,63,13,125,55,114,95
730,4,9,13,5,72,5,7,63,13,125,55,115,97
740,4,9,13,5,72,5,7,63,13,129,56,120,99
750,4,9,13,5,72,5,7,63,13,130,56,120,99
760,4,9,13,5,72,5,7,63,13,132,56,122,100
770,4,9,13,5,72,5,7,63,13,134,58,123,101
780,4,9,13,5,72,5,7,63,13,134,58,123,102
790,4,9,13,5,72,5,7,63,13,134,58,125,105
